id,url,ja,zh_cn,zh_tw,en,translate,note,source
uncensored-1j,https://www.busfan.club/uncensored/genre/1j,1080p,1080p,1080p,1080p,1080p,,avsox;javbus
uncensored-1x,https://www.busfan.club/uncensored/genre/1x,10代,10代,10代,10代,10代,,avsox;javbus
6h,https://www.busfan.club/genre/6h,10枚組,10枚组,10枚組,Ten Clips,10碟套装,,javbus
6n,https://www.busfan.club/genre/6n,16時間以上作品,16时间以上作品,16時間以上作品,More Than 16 Hours Of Footage,16小时以上作品,,jav321;javbus
tags?c7=227,https://javdb521.com/tags?c7=227,3D,3D,3D,3D,3D,,jav321;javbus;javdb;javlib
uncensored?c2=30,https://javdb521.com/tags/uncensored?c2=30,3P,,3P,3P,3P,,javdb
ke,https://www.b49t.com/cn/vl_genre.php?g=ke,3P、4P,多P,多P,"3p, 4p",多P,,javlib
3,https://www.busfan.club/genre/3,3P・4P,多P,多P,Threesome / Foursome,多P,,jav321;javbus
tags?c5=24,https://javdb521.com/tags?c5=24,"3p, 4p",,多P,"3p, 4p",多P,,javdb
tags?c7=10,https://javdb521.com/tags?c7=10,4HR+,4小时以上作品,4小時以上作品,4HR+,4小时以上作品,,javdb
tags?c7=347,https://javdb521.com/tags?c7=347,4K,,4K,4K,4K,,javbus;javdb
43,https://www.busfan.club/genre/43,4時間以上作品,4小时以上作品,4小時以上作品,Over 4 Hours,4小时以上作品,,jav321;javbus;javlib
uncensored-1k,https://www.busfan.club/uncensored/genre/1k,60fps,60fps,60fps,60fps,60fps,,avsox;javbus
tags?c5=25,https://javdb521.com/tags?c5=25,69,69,69,69,69,,avsox;javbus;javdb
66,https://www.busfan.club/genre/66,AV OPEN 2014 スーパーヘビー,,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,,AV OPEN作为一个奖项，更类似于一种发行上的归类而不是影片类型，而且JavBus并没有完整收录各年度的AV OPEN影片并应用相关分类。从保持一致性的角度出发，删除所有AV OPEN的标签,javbus
69,https://www.busfan.club/genre/69,AV OPEN 2014 ヘビー級,,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,,,javbus
6a,https://www.busfan.club/genre/6a,AV OPEN 2014 ミドル級,,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,,,javbus
75,https://www.busfan.club/genre/75,AV OPEN 2015 SM/ハード部門,,AV OPEN 2015 SM/ハード部門,AV OPEN 2015 S&M/Hardcore Division,,,javbus
70,https://www.busfan.club/genre/70,AV OPEN 2015 マニア/フェチ部門,,AV OPEN 2015 マニア/フェチ部門,AV OPEN 2015 Kink/Fetish Division,,,javbus
73,https://www.busfan.club/genre/73,AV OPEN 2015 乙女部門,AV OPEN 2015 乙女部门,AV OPEN 2015 乙女部門,AV OPEN 2015 Virgin Division,,,javbus
72,https://www.busfan.club/genre/72,AV OPEN 2015 企画部門,AV OPEN 2015 企画部门,AV OPEN 2015 企画部門,AV OPEN 2015 Variety Show Division,,,javbus
